City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,longyearbyen,78.2186,15.6401,10.91,82,0,1.03,SJ,1722476273
1,punta arenas,-53.15,-70.9167,4.06,93,75,7.72,CL,1722476275
2,bilibino,68.0546,166.4372,8.37,40,23,1.09,RU,1722476277
3,minas de marcona,-15.2119,-75.1103,12.85,79,9,2.22,PE,1722476279
4,strezhevoy,60.7333,77.5889,17.7,75,14,1.67,RU,1722476281
5,emerald,-23.5333,148.1667,19.63,28,0,3.29,AU,1722476283
6,bathsheba,13.2167,-59.5167,26.34,89,20,1.54,BB,1722476285
7,grytviken,-54.2811,-36.5092,-8.37,76,26,5.61,GS,1722476287
8,lekki,6.3607,4.8333,23.31,95,100,1.77,NG,1722476289
9,namibe,-15.1961,12.1522,15.49,86,21,1.02,AO,1722476291
10,westport,41.1415,-73.3579,26.84,82,75,5.14,US,1722476153
11,ribeira grande,38.5167,-28.7,21.54,86,73,1.34,PT,1722476295
12,magadan,59.5667,150.8,11.68,90,100,1.81,RU,1722476297
13,howrah,22.5892,88.3103,28.0,89,100,2.06,IN,1722476298
14,bethel,41.3712,-73.414,24.46,91,20,1.54,US,1722476129
15,necochea,-38.5473,-58.7368,10.84,85,100,4.71,AR,1722476302
16,shahpura,27.3833,75.9667,24.27,90,100,3.21,IN,1722476304
17,adamstown,-25.066,-130.1015,22.24,87,0,9.13,PN,1722476306
18,saint-pierre,-21.3393,55.4781,18.82,48,0,2.57,RE,1722476308
19,rurrenabaque,-14.4413,-67.5278,22.26,64,0,0.86,BO,1722476310
20,badger,64.8,-147.5333,17.21,54,75,4.12,US,1722476312
21,wailua homesteads,22.0669,-159.378,26.74,72,40,6.69,US,1722476314
22,puerto natales,-51.7236,-72.4875,1.47,99,100,1.89,CL,1722476036
23,stanley,54.868,-1.6985,16.51,81,100,2.07,GB,1722476318
24,margaret river,-33.95,115.0667,11.32,61,85,7.97,AU,1722476320
25,invercargill,-46.4,168.35,6.68,77,5,0.45,NZ,1722476169
26,iqaluit,63.7506,-68.5145,6.85,65,20,1.54,CA,1722476323
27,sitka,57.0531,-135.33,13.94,77,100,2.57,US,1722476325
28,cerro de ortega,18.75,-103.7667,26.34,86,100,1.48,MX,1722476327
29,happy valley-goose bay,53.3168,-60.3315,17.17,82,40,6.17,CA,1722476329
30,timmins,48.4669,-81.3331,21.9,78,20,1.03,CA,1722476282
31,praia da vitoria,38.7333,-27.0667,22.64,88,20,3.2,PT,1722476333
32,wangjing,24.6,94.0333,24.99,90,87,1.06,IN,1722476335
33,yellowknife,62.456,-114.3525,14.29,72,75,5.14,CA,1722476337
34,kuta,-8.7233,115.1723,28.97,84,20,2.57,ID,1722476339
35,tiksi,71.6872,128.8694,3.87,71,76,3.58,RU,1722476341
36,monteagudo,-19.8167,-63.9833,13.61,80,12,0.79,BO,1722476343
37,blackmans bay,-43.0167,147.3167,10.96,78,96,1.34,AU,1722476344
38,zhengjiatun,43.5064,123.5064,27.82,72,85,3.84,CN,1722476346
39,mount gambier,-37.8333,140.7667,13.47,55,88,3.1,AU,1722476348
40,bredasdorp,-34.5322,20.0403,6.29,83,0,2.25,ZA,1722476350
41,nuku'alofa,-21.1333,-175.2,26.19,65,20,3.09,TO,1722476352
42,port-aux-francais,-49.35,70.2167,4.49,96,100,14.4,TF,1722476354
43,port augusta,-32.5,137.7667,16.03,22,23,4.13,AU,1722476356
44,waitangi,-43.9535,-176.5597,9.9,90,81,1.34,NZ,1722476358
45,pisco,-13.7,-76.2167,16.12,88,0,4.12,PE,1722476362
46,edinburgh of the seven seas,-37.0676,-12.3116,11.84,61,40,10.55,SH,1722476165
47,tromso,69.6496,18.957,16.01,67,1,2.06,NO,1722476366
48,hamilton,39.1834,-84.5333,25.14,88,20,2.06,US,1722475768
49,remire-montjoly,4.9167,-52.2667,25.02,94,0,1.54,GF,1722476370
50,isafjordur,66.0755,-23.124,7.39,93,100,3.46,IS,1722476374
51,fort st. john,56.2499,-120.8529,19.94,49,75,6.69,CA,1722476376
52,ushuaia,-54.8,-68.3,3.81,75,100,1.03,AR,1722476135
53,panacan,9.2463,118.4082,29.43,70,99,1.07,PH,1722476379
54,sikasso,10.9167,-7.0,23.31,94,100,2.11,ML,1722476381
55,college,64.8569,-147.8028,17.26,53,75,4.12,US,1722476383
56,crane,31.3974,-102.3501,33.11,30,1,8.78,US,1722476385
57,angra do heroismo,38.65,-27.2167,22.84,84,20,0.45,PT,1722476387
58,khandyga,62.6667,135.6,10.01,71,94,2.25,RU,1722476389
59,danielskuil,-28.1887,23.5395,7.29,50,0,4.22,ZA,1722476391
60,hawaiian paradise park,19.5933,-154.9731,27.73,70,0,4.63,US,1722476393
61,utrik,11.2278,169.8474,28.33,79,14,6.16,MH,1722476395
62,lompoc,34.6391,-120.4579,19.96,83,75,3.6,US,1722476397
63,phan rang-thap cham,11.5667,108.9833,32.38,52,10,1.28,VN,1722476399
64,hard bargain,26.3167,-77.5667,29.3,74,100,6.03,BS,1722476400
65,whitehorse,60.7161,-135.0538,13.43,75,75,4.12,CA,1722476402
66,teshi old town,5.5836,-0.1072,24.31,94,100,6.69,GH,1722476404
67,olonkinbyen,70.9221,-8.7187,4.97,97,100,5.11,SJ,1722476406
68,alesund,62.4723,6.1549,13.08,78,100,3.6,NO,1722476408
69,khoyniki,51.8911,29.9552,12.86,81,100,2.35,BY,1722476410
70,beau vallon,-20.4189,57.6953,18.45,88,20,2.57,MU,1722476412
71,ilulissat,69.2167,-51.1,6.01,75,40,1.03,GL,1722476414
72,banda aceh,5.5577,95.3222,29.17,61,100,1.19,ID,1722476416
73,waddan,29.1614,16.139,25.63,52,0,0.04,LY,1722476418
74,ixtapa-zihuatanejo,17.6333,-101.55,30.05,66,75,0.0,MX,1722476420
75,west island,-12.1568,96.8225,25.99,73,75,7.72,CC,1722476422
76,papatowai,-46.5619,169.4708,8.39,64,21,1.19,NZ,1722476426
77,laojunmiao,39.8333,97.7333,18.54,48,100,2.02,CN,1722476428
78,west bay,19.3667,-81.4167,30.04,81,20,4.12,KY,1722476430
79,kingston,17.997,-76.7936,30.53,70,20,6.17,JM,1722476308
80,abakaliki,6.3163,8.1169,22.64,98,99,2.62,NG,1722476434
81,ashland,40.8167,-82.2665,26.14,88,78,2.64,US,1722476436
82,carnarvon,-24.8667,113.6333,20.04,71,0,8.79,AU,1722476438
83,puerto ayora,-0.7393,-90.3518,20.3,91,31,3.86,EC,1722476439
84,thompson,55.7435,-97.8558,26.09,41,20,2.06,CA,1722476441
85,salmon arm,50.6998,-119.3024,34.68,54,0,2.06,CA,1722476443
86,rehoboth,-23.3167,17.0833,3.8,31,0,1.57,NA,1722476445
87,kolondieba,11.0882,-6.8926,23.22,93,100,1.86,ML,1722476447
88,avarua,-21.2078,-159.775,23.03,56,100,3.6,CK,1722476449
89,ar ruways,24.1103,52.7306,33.09,77,97,2.92,AE,1722476451
90,lebu,-37.6167,-73.65,11.8,95,100,12.74,CL,1722476453
91,saipan,15.1355,145.701,32.39,70,20,5.14,MP,1722476455
92,chonchi,-42.6128,-73.8092,8.95,93,100,4.09,CL,1722476457
93,sisimiut,66.9395,-53.6735,6.98,69,0,4.13,GL,1722476459
94,hernando,28.5419,-82.4582,29.79,84,0,1.54,US,1722476461
95,yemva,62.59,50.8594,15.78,85,100,1.52,RU,1722476463
96,yacimiento rio turbio,-51.5732,-72.3508,-1.76,99,100,1.23,AR,1722476464
97,cabo san lucas,22.8909,-109.9124,30.61,67,20,2.06,MX,1722476466
98,lihue,21.9789,-159.3672,26.77,74,40,6.69,US,1722476468
99,uturoa,-16.7333,-151.4333,23.74,55,56,6.55,PF,1722476472
100,port alfred,-33.5906,26.891,11.47,73,3,5.34,ZA,1722476474
101,kashiwazaki,37.3667,138.55,29.93,67,100,2.7,JP,1722476476
102,ankazoabo,-22.2833,44.5167,12.73,74,0,3.56,MG,1722476478
103,albany,42.6001,-73.9662,23.71,74,3,3.3,US,1722476462
104,vilyuysk,63.7553,121.6247,14.44,43,95,2.47,RU,1722476482
105,qaqortoq,60.7167,-46.0333,6.64,72,10,2.75,GL,1722476486
106,fortaleza,-3.7227,-38.5247,27.34,89,20,2.57,BR,1722476275
107,mulki,13.1,74.8,23.6,100,100,1.54,IN,1722476489
108,vilyuchinsk,52.9306,158.4028,16.15,97,100,1.76,RU,1722476491
109,derbent,42.0678,48.2899,24.5,55,44,2.03,RU,1722476493
110,anadyr,64.75,177.4833,11.28,100,75,5.0,RU,1722476495
111,port elizabeth,-33.918,25.5701,10.16,92,0,3.6,ZA,1722476497
112,udachny,66.4167,112.4,11.74,47,98,3.01,RU,1722476499
113,arraial do cabo,-22.9661,-42.0278,18.98,100,100,1.54,BR,1722476171
114,wynyard,-41.0,145.7167,10.28,70,100,3.57,AU,1722476505
115,nejo,9.5,35.5,13.48,99,100,0.71,ET,1722476507
116,drayton valley,53.2168,-114.9854,16.31,81,8,4.22,CA,1722476508
117,hermanus,-34.4187,19.2345,5.45,78,0,2.79,ZA,1722476510
118,bonthe,7.5264,-12.505,24.66,89,97,4.97,SL,1722476512
119,talcahuano,-36.7167,-73.1167,11.82,94,100,15.95,CL,1722476514
120,undurkhaan,47.3194,110.6556,21.4,70,61,4.54,MN,1722476516
121,komsomol'skiy,43.9783,46.6985,24.52,44,63,3.45,RU,1722476518
122,maumere,-8.6199,122.2111,27.95,67,72,0.81,ID,1722476520
123,yemetsk,63.4721,41.7941,15.27,81,100,0.81,RU,1722476522
124,toliara,-23.35,43.6667,16.34,78,0,4.61,MG,1722476524
125,ust-nera,64.5667,143.2,4.56,96,100,3.17,RU,1722476526
126,east london,-33.0153,27.9116,11.98,51,0,3.75,ZA,1722476528
127,bansoa,5.4472,10.3151,15.91,96,98,1.94,CM,1722476531
128,alice springs,-23.7,133.8833,15.75,25,0,4.12,AU,1722476533
129,hilo,19.7297,-155.09,27.85,72,0,4.63,US,1722476253
130,mayya,61.7333,130.2811,14.62,36,20,3.99,RU,1722476537
131,argostolion,38.1811,20.489,26.53,31,0,1.46,GR,1722476540
132,gulf breeze,30.3571,-87.1639,30.53,85,0,2.57,US,1722476542
133,saint croix,17.7397,-64.7388,25.25,94,75,3.09,VI,1722476544
134,itoigawa,37.0333,137.85,29.45,71,100,2.51,JP,1722476546
135,new mirpur,33.1418,73.7674,29.04,73,17,4.26,PK,1722476548
136,iskateley,67.6803,53.1512,17.29,85,100,3.49,RU,1722476550
137,saudarkrokur,65.7461,-19.6394,10.79,83,100,1.76,IS,1722476552
138,antsohihy,-14.8796,47.9875,17.38,76,0,2.37,MG,1722476554
